time,ax,ay,az,gx,gy,gz,mx,my,mz,depth,current,voltage,temperature
2022-12-13 19:01:02.160584,0.02,0.0,1.02,-1.2,-0.16,1.51,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:02.203944,,,,,,,,,,-0.06,,,
2022-12-13 19:01:02.223089,,,,,,,,,,,,,28.88
2022-12-13 19:01:02.713473,0.02,0.0,1.02,-1.17,-0.65,1.72,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:02.756709,,,,,,,,,,-0.06,,,
2022-12-13 19:01:02.798288,,,,,,,,,,,,,28.88
2022-12-13 19:01:03.227326,,,,,,,,,,,1.25,,
2022-12-13 19:01:03.270445,,,,,,,,,,,,12.25,
2022-12-13 19:01:03.270985,0.02,0.01,1.02,0.0,0.42,2.69,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:03.309644,,,,,,,,,,-0.06,,,
2022-12-13 19:01:03.311086,,,,,,,,,,,,,28.89
2022-12-13 19:01:03.819035,0.02,-0.0,1.02,-1.18,-1.43,2.26,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:03.862068,,,,,,,,,,-0.06,,,
2022-12-13 19:01:03.863780,,,,,,,,,,,,,28.89
2022-12-13 19:01:04.371808,0.02,0.0,1.02,-0.27,1.07,1.92,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:04.414897,,,,,,,,,,-0.06,,,
2022-12-13 19:01:04.416588,,,,,,,,,,,,,28.89
2022-12-13 19:01:04.751766,,,,,,,,,,,1.0,,
2022-12-13 19:01:04.752236,,,,,,,,,,,,12.25,
2022-12-13 19:01:04.924623,0.01,0.0,1.02,-0.31,-2.15,2.94,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:04.967772,,,,,,,,,,-0.06,,,
2022-12-13 19:01:05.010211,,,,,,,,,,,,,28.89
2022-12-13 19:01:05.477438,0.01,-0.0,1.02,-1.34,0.64,2.5,-0.58,0.94,-0.57,,,,
2022-12-13 19:01:05.520453,,,,,,,,,,-0.06,,,
2022-12-13 19:01:05.522185,,,,,,,,,,,,,28.89
2022-12-13 19:01:06.030362,0.01,0.0,1.02,-1.09,-1.22,1.7,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:06.073362,,,,,,,,,,-0.07,,,
2022-12-13 19:01:06.075020,,,,,,,,,,,,,28.9
2022-12-13 19:01:06.276833,,,,,,,,,,,1.5,,
2022-12-13 19:01:06.277496,,,,,,,,,,,,12.23,
2022-12-13 19:01:06.583196,0.02,0.0,1.01,-0.88,-0.29,1.57,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:06.626255,,,,,,,,,,-0.07,,,
2022-12-13 19:01:06.628236,,,,,,,,,,,,,28.9
2022-12-13 19:01:07.135469,0.01,0.0,1.02,0.42,-0.58,3.03,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:07.178893,,,,,,,,,,-0.06,,,
2022-12-13 19:01:07.180544,,,,,,,,,,,,,28.9
2022-12-13 19:01:07.689116,0.02,-0.0,1.01,-1.72,0.02,2.46,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:07.732480,,,,,,,,,,-0.06,,,
2022-12-13 19:01:07.733709,,,,,,,,,,,,,28.9
2022-12-13 19:01:07.801015,,,,,,,,,,,1.13,,
2022-12-13 19:01:07.801650,,,,,,,,,,,,12.24,
2022-12-13 19:01:08.241145,0.01,0.0,1.02,0.17,-0.42,1.75,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:08.284184,,,,,,,,,,-0.07,,,
2022-12-13 19:01:08.285942,,,,,,,,,,,,,28.9
2022-12-13 19:01:08.793832,0.02,0.0,1.01,-0.92,-0.37,1.94,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:08.837780,,,,,,,,,,-0.06,,,
2022-12-13 19:01:08.839148,,,,,,,,,,,,,28.9
2022-12-13 19:01:09.325020,,,,,,,,,,,1.25,,
2022-12-13 19:01:09.325462,,,,,,,,,,,,12.25,
2022-12-13 19:01:09.346732,0.01,0.0,1.02,-0.29,0.38,2.82,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:09.390132,,,,,,,,,,-0.07,,,
2022-12-13 19:01:09.391863,,,,,,,,,,,,,28.9
2022-12-13 19:01:09.899740,0.02,0.0,1.02,-1.72,-1.37,2.69,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:09.942564,,,,,,,,,,-0.07,,,
2022-12-13 19:01:09.944517,,,,,,,,,,,,,28.91
2022-12-13 19:01:10.452708,0.01,0.0,1.02,-0.39,0.34,1.65,-0.58,0.94,-0.59,,,,
2022-12-13 19:01:10.495406,,,,,,,,,,-0.07,,,
2022-12-13 19:01:10.497249,,,,,,,,,,,,,28.91
2022-12-13 19:01:10.850155,,,,,,,,,,,1.38,,
2022-12-13 19:01:10.850708,,,,,,,,,,,,12.24,
2022-12-13 19:01:11.005923,0.01,-0.0,1.02,-0.49,-1.23,1.23,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:11.048687,,,,,,,,,,-0.06,,,
2022-12-13 19:01:11.050402,,,,,,,,,,,,,28.91
2022-12-13 19:01:11.558634,0.02,0.0,1.02,-0.88,0.61,1.2,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:11.601403,,,,,,,,,,-0.06,,,
2022-12-13 19:01:11.602966,,,,,,,,,,,,,28.91
2022-12-13 19:01:12.111030,0.01,-0.0,1.02,-0.43,-1.09,1.5,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:12.154171,,,,,,,,,,-0.06,,,
2022-12-13 19:01:12.156124,,,,,,,,,,,,,28.91
2022-12-13 19:01:12.374347,,,,,,,,,,,1.38,,
2022-12-13 19:01:12.374807,,,,,,,,,,,,12.25,
2022-12-13 19:01:12.663509,0.02,-0.0,1.02,-1.35,0.54,1.03,-0.58,0.94,-0.59,,,,
2022-12-13 19:01:12.706777,,,,,,,,,,-0.06,,,
2022-12-13 19:01:12.708859,,,,,,,,,,,,,28.91
2022-12-13 19:01:13.216840,0.01,-0.0,1.02,0.38,-1.98,0.91,-0.58,0.94,-0.59,,,,
2022-12-13 19:01:13.259666,,,,,,,,,,-0.07,,,
2022-12-13 19:01:13.261380,,,,,,,,,,,,,28.91
2022-12-13 19:01:13.769394,0.02,-0.0,1.02,-2.19,0.36,0.88,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:13.812238,,,,,,,,,,-0.06,,,
2022-12-13 19:01:13.814092,,,,,,,,,,,,,28.92
2022-12-13 19:01:13.899258,,,,,,,,,,,1.38,,
2022-12-13 19:01:13.899753,,,,,,,,,,,,12.24,
2022-12-13 19:01:14.322111,0.01,-0.0,1.02,0.01,-1.62,1.58,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:14.365246,,,,,,,,,,-0.07,,,
2022-12-13 19:01:14.366850,,,,,,,,,,,,,28.92
2022-12-13 19:01:14.875242,0.01,-0.0,1.02,-0.6,0.46,1.72,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:14.918457,,,,,,,,,,-0.06,,,
2022-12-13 19:01:14.919849,,,,,,,,,,,,,28.92
2022-12-13 19:01:15.423194,,,,,,,,,,,1.25,,
2022-12-13 19:01:15.423860,,,,,,,,,,,,12.24,
2022-12-13 19:01:15.426963,0.0,-0.0,1.02,-0.94,0.0,1.48,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:15.470299,,,,,,,,,,-0.07,,,
2022-12-13 19:01:15.472686,,,,,,,,,,,,,28.92
2022-12-13 19:01:15.980664,0.01,-0.0,1.02,-0.38,-0.83,1.27,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:16.023847,,,,,,,,,,-0.07,,,
2022-12-13 19:01:16.025528,,,,,,,,,,,,,28.92
2022-12-13 19:01:16.533358,0.01,-0.0,1.02,-0.66,0.01,1.35,-0.59,0.94,-0.59,,,,
2022-12-13 19:01:16.576762,,,,,,,,,,-0.07,,,
2022-12-13 19:01:16.578010,,,,,,,,,,,,,28.92
2022-12-13 19:01:16.948517,,,,,,,,,,,1.13,,
2022-12-13 19:01:16.949077,,,,,,,,,,,,12.25,
2022-12-13 19:01:17.086511,0.01,-0.0,1.02,-0.82,-0.81,1.7,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:17.129646,,,,,,,,,,-0.07,,,
2022-12-13 19:01:17.131159,,,,,,,,,,,,,28.92
2022-12-13 19:01:17.638857,0.01,-0.0,1.02,-0.38,0.21,2.0,-0.58,0.93,-0.59,,,,
2022-12-13 19:01:17.682158,,,,,,,,,,-0.07,,,
2022-12-13 19:01:17.683718,,,,,,,,,,,,,28.93
2022-12-13 19:01:18.191992,0.01,-0.0,1.02,-0.82,-0.86,1.73,-0.58,0.94,-0.58,,,,
2022-12-13 19:01:18.234831,,,,,,,,,,-0.07,,,
2022-12-13 19:01:18.236527,,,,,,,,,,,,,28.93
2022-12-13 19:01:18.472512,,,,,,,,,,,1.38,,
2022-12-13 19:01:18.473146,,,,,,,,,,,,12.24,
2022-12-13 19:01:18.744625,0.01,-0.01,1.02,-0.79,-0.03,1.64,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:18.787998,,,,,,,,,,-0.07,,,
2022-12-13 19:01:18.789181,,,,,,,,,,,,,28.93
2022-12-13 19:01:19.297438,0.01,-0.01,1.02,-0.13,-1.09,1.98,-0.58,0.93,-0.58,,,,
2022-12-13 19:01:19.340818,,,,,,,,,,-0.07,,,
2022-12-13 19:01:19.342198,,,,,,,,,,,,,28.93
2022-12-13 19:01:19.849714,0.0,-0.0,1.02,-1.05,0.04,1.46,-0.59,0.93,-0.58,,,,
2022-12-13 19:01:19.893023,,,,,,,,,,-0.07,,,
2022-12-13 19:01:19.894768,,,,,,,,,,,,,28.93
2022-12-13 19:01:19.996950,,,,,,,,,,,1.13,,
2022-12-13 19:01:19.997399,,,,,,,,,,,,12.24,
2022-12-13 19:01:20.403111,0.01,-0.01,1.02,-0.06,-0.62,1.5,-0.59,0.94,-0.57,,,,
2022-12-13 19:01:20.446026,,,,,,,,,,-0.07,,,
2022-12-13 19:01:20.447892,,,,,,,,,,,,,28.93
2022-12-13 19:01:20.956081,0.0,-0.0,1.02,-1.3,-0.4,1.61,-0.59,0.94,-0.58,,,,
2022-12-13 19:01:20.999015,,,,,,,,,,-0.07,,,
2022-12-13 19:01:21.000541,,,,,,,,,,,,,28.93
2022-12-13 19:01:21.508552,0.01,-0.01,1.02,-0.68,-0.38,1.48,-0.59,0.93,-0.57,,,,
2022-12-13 19:01:21.521691,,,,,,,,,,,1.13,,
2022-12-13 19:01:21.522147,,,,,,,,,,,,12.23,
2022-12-13 19:01:21.551956,,,,,,,,,,-0.07,,,
2022-12-13 19:01:21.553473,,,,,,,,,,,,,28.94
2022-12-13 19:01:22.061358,0.01,-0.0,1.02,-1.23,-1.02,1.14,-0.59,0.94,-0.58,,,,
